Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00    7421/47389       stoi(String, int) [102]
-----------------------------------------------
                0.00    0.18    9992/69951       Time::Time(String) [12]
                0.01    0.55   29976/69951       Date::Date(String) [8]
                0.01    0.55   29983/69951       LogEntry::LogEntry(String) [3]
[4]     63.9    0.03    1.28   69951         String::split(char) const [4]
                0.02    0.55 1587117/2644560     String::operator+(String const&) const [5]
                0.00    0.44  239870/239870      std::vector<String, std::allocator<String> >::push_back(String const&) [9]
                0.16    0.00 1856963/10382507     String::length() const [6]
                0.00    0.05   69951/69951       String::findchar(char const&) const [30]
                0.00    0.03 1767028/2934500     String::operator=(String) [29]
                0.01    0.00 1856963/2874438     String::String(char) [37]
                0.01    0.00 3693942/6757838     String::~String() [36]
                0.00    0.01  269846/279845      operator!=(String const&, String const&) [49]
                0.00    0.00  179911/239937      String::String(char const*) [84]
                0.00    0.00   69951/69951       std::vector<String, std::allocator<String> >::vector() [101]
                0.00    0.00   69951/139953      String::String() [91]
-----------------------------------------------
                0.00    0.02   49960/2644560     LogEntry::LogEntry(String) [3]
                0.02    0.35 1007483/2644560     parse(std::istream&) [2]
                0.02    0.55 1587117/2644560     String::split(char) const [4]
[5]     46.6    0.04    0.92 2644560         String::operator+(String const&) const [5]
                0.68    0.00 7933756/10382507     String::length() const [6]
                0.24    0.00 2644560/2644560     String::String(int, char const*) [11]
-----------------------------------------------
                0.00    0.00    7421/10382507     LogEntry::LogEntry(String) [3]
                0.00    0.00    9992/10382507     Date::Date(String) [8]
                0.00    0.00   29976/10382507     Time::Time(String) [12]
                0.05    0.00  544399/10382507     String::findchar(char const&) const [30]
                0.16    0.00 1856963/10382507     String::split(char) const [4]
                0.68    0.00 7933756/10382507     String::operator+(String const&) const [5]
[6]     43.2    0.89    0.00 10382507         String::length() const [6]
-----------------------------------------------
                0.01    0.00    9999/858950      parse(std::istream&) [2]
                0.02    0.00   19991/858950      LogEntry::getHost() const [40]
                0.02    0.00   29976/858950      Time::Time(String) [12]
                0.02    0.00   29997/858950      LogEntry::operator=(LogEntry const&) [34]
                0.03    0.00   39998/858950      Date::operator=(Date const&) [35]
                0.04    0.00   49960/858950      Date::Date(String) [8]
                0.04    0.00   52764/858950      Date::Date(Date const&) [33]
                0.05    0.00   67373/858950      LogEntry::LogEntry(String) [3]
                0.06    0.00   79146/858950      LogEntry::LogEntry(LogEntry const&) [21]
                0.19    0.00  239870/858950      __gnu_cxx::new_allocator<String>::construct(String*, String const&) [18]
                0.19    0.00  239876/858950      void std::_Construct<String, String>(String*, String const&) [16]
[7]     33.2    0.68    0.00  858950         String::String(String const&) [7]
-----------------------------------------------
                0.00    0.60    9992/9992        LogEntry::LogEntry(String) [3]
[8]     29.4    0.00    0.60    9992         Date::Date(String) [8]
                0.01    0.55   29976/69951       String::split(char) const [4]
                0.04    0.00   49960/858950      String::String(String const&) [7]
                0.00    0.00   29976/69952       std::vector<String, std::allocator<String> >::~vector() [55]
                0.00    0.00    9992/10382507     String::length() const [6]
                0.00    0.00   19984/2934500     String::operator=(String) [29]
                0.00    0.00   49960/6757838     String::~String() [36]
                0.00    0.00   59952/234672      std::vector<String, std::allocator<String> >::operator[](unsigned long) [86]
                0.00    0.00   19984/139953      String::String() [91]
                0.00    0.00    9992/47389       stoi(String, int) [102]
-----------------------------------------------
                0.00    0.44  239870/239870      String::split(char) const [4]
[9]     21.4    0.00    0.44  239870         std::vector<String, std::allocator<String> >::push_back(String const&) [9]
                0.00    0.38  169894/169894      std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&) [10]
                0.00    0.06   69976/239870      void __gnu_cxx::__alloc_traits<std::allocator<String> >::construct<String>(std::allocator<String>&, String*, String const&) [19]
                0.00    0.00  169894/169894      std::vector<String, std::allocator<String> >::end() [89]
-----------------------------------------------
                0.00    0.38  169894/169894      std::vector<String, std::allocator<String> >::push_back(String const&) [9]
[10]    18.7    0.00    0.38  169894         std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&) [10]
                0.00    0.20  339788/339788      String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&) [15]
                0.00    0.13  169894/239870      void __gnu_cxx::__alloc_traits<std::allocator<String> >::construct<String>(std::allocator<String>&, String*, String const&) [19]
